consumption,interval_start,interval_end,date,time
0.258,2022-05-25T17:00:00Z,2022-05-25T17:30:00Z,2022-05-25,17:00:00
0.037,2022-05-25T17:30:00Z,2022-05-25T18:00:00Z,2022-05-25,17:30:00
0.04,2022-05-25T18:00:00Z,2022-05-25T18:30:00Z,2022-05-25,18:00:00
0.056,2022-05-25T18:30:00Z,2022-05-25T19:00:00Z,2022-05-25,18:30:00
0.068,2022-05-25T19:00:00Z,2022-05-25T19:30:00Z,2022-05-25,19:00:00
0.063,2022-05-25T19:30:00Z,2022-05-25T20:00:00Z,2022-05-25,19:30:00
0.059,2022-05-25T20:00:00Z,2022-05-25T20:30:00Z,2022-05-25,20:00:00
0.063,2022-05-25T20:30:00Z,2022-05-25T21:00:00Z,2022-05-25,20:30:00
0.05,2022-05-25T21:00:00Z,2022-05-25T21:30:00Z,2022-05-25,21:00:00
0.061,2022-05-25T21:30:00Z,2022-05-25T22:00:00Z,2022-05-25,21:30:00
1.037,2022-05-25T22:00:00Z,2022-05-25T22:30:00Z,2022-05-25,22:00:00
1.557,2022-05-25T22:30:00Z,2022-05-25T23:00:00Z,2022-05-25,22:30:00
0.318,2022-05-25T23:00:00Z,2022-05-25T23:30:00Z,2022-05-25,23:00:00
0.038,2022-05-25T23:30:00Z,2022-05-26T00:00:00Z,2022-05-25,23:30:00
0.489,2022-05-26T00:00:00Z,2022-05-26T00:30:00Z,2022-05-26,00:00:00
0.434,2022-05-26T00:30:00Z,2022-05-26T01:00:00Z,2022-05-26,00:30:00
0.075,2022-05-26T01:00:00Z,2022-05-26T01:30:00Z,2022-05-26,01:00:00
0.042,2022-05-26T01:30:00Z,2022-05-26T02:00:00Z,2022-05-26,01:30:00
0.019,2022-05-26T02:00:00Z,2022-05-26T02:30:00Z,2022-05-26,02:00:00
0.042,2022-05-26T02:30:00Z,2022-05-26T03:00:00Z,2022-05-26,02:30:00
0.019,2022-05-26T03:00:00Z,2022-05-26T03:30:00Z,2022-05-26,03:00:00
0.041,2022-05-26T03:30:00Z,2022-05-26T04:00:00Z,2022-05-26,03:30:00
0.019,2022-05-26T04:00:00Z,2022-05-26T04:30:00Z,2022-05-26,04:00:00
0.035,2022-05-26T04:30:00Z,2022-05-26T05:00:00Z,2022-05-26,04:30:00
0.08,2022-05-26T05:00:00Z,2022-05-26T05:30:00Z,2022-05-26,05:00:00
0.287,2022-05-26T05:30:00Z,2022-05-26T06:00:00Z,2022-05-26,05:30:00
0.128,2022-05-26T06:00:00Z,2022-05-26T06:30:00Z,2022-05-26,06:00:00
0.078,2022-05-26T06:30:00Z,2022-05-26T07:00:00Z,2022-05-26,06:30:00
0.329,2022-05-26T07:00:00Z,2022-05-26T07:30:00Z,2022-05-26,07:00:00
0.258,2022-05-26T07:30:00Z,2022-05-26T08:00:00Z,2022-05-26,07:30:00
0.218,2022-05-26T08:00:00Z,2022-05-26T08:30:00Z,2022-05-26,08:00:00
0.724,2022-05-26T08:30:00Z,2022-05-26T09:00:00Z,2022-05-26,08:30:00
0.256,2022-05-26T09:00:00Z,2022-05-26T09:30:00Z,2022-05-26,09:00:00
0.148,2022-05-26T09:30:00Z,2022-05-26T10:00:00Z,2022-05-26,09:30:00
0.033,2022-05-26T10:00:00Z,2022-05-26T10:30:00Z,2022-05-26,10:00:00
0.027,2022-05-26T10:30:00Z,2022-05-26T11:00:00Z,2022-05-26,10:30:00
0.061,2022-05-26T11:00:00Z,2022-05-26T11:30:00Z,2022-05-26,11:00:00
0.259,2022-05-26T11:30:00Z,2022-05-26T12:00:00Z,2022-05-26,11:30:00
0.525,2022-05-26T12:00:00Z,2022-05-26T12:30:00Z,2022-05-26,12:00:00
0.046,2022-05-26T12:30:00Z,2022-05-26T13:00:00Z,2022-05-26,12:30:00
